rank,track,artist,album,duration_sec,explicit,spotify_url,extracted_at,time_range,duration_fmt
1,Soy De La Lleca,Franky Style,V Anillos,167,True,https://open.spotify.com/track/3JhOvPAdkKfEZJV838uZwd,2026-06-08 12:57:50.405762,short_term,2:47
2,Sáhara,Kenny Die,Sáhara,163,True,https://open.spotify.com/track/4pv2Jyb0wvKzJO10cNiH6l,2026-06-08 12:57:50.405762,short_term,2:43
3,Cuantas veces,C.R.O,Otra vez en tus ruinas,172,False,https://open.spotify.com/track/3MznYQPob11VT0AECBxcrX,2026-06-08 12:57:50.405762,short_term,2:52
4,444 - Remix,Yan Block,444 (Remix),299,True,https://open.spotify.com/track/5AK6QqM8aUXXTk6oY00ZRh,2026-06-08 12:57:50.405762,short_term,4:59
5,MEDUSA REMIX,Neo Pistea,MEDUSA REMIX,401,True,https://open.spotify.com/track/3whoNOYqaUJeDNfisAIojI,2026-06-08 12:57:50.405762,short_term,6:41
6,No Le Conviene,Kenny Die,No Le Conviene,162,True,https://open.spotify.com/track/1Nje8uVhzBQtdbFJqC9D4F,2026-06-08 12:57:50.405762,short_term,2:42
7,Si Te Vas 2.0,LIT killah,Si Te Vas 2.0,259,False,https://open.spotify.com/track/69NUba8fukuax13XWCaXva,2026-06-08 12:57:50.405762,short_term,4:19
8,Maníaca,Abraham Mateo,Insomnio,175,False,https://open.spotify.com/track/2i2vRYY1K2t5vQjXRop7tE,2026-06-08 12:57:50.405762,short_term,2:55
9,プロポーズ,9Lana,Let me battle,234,False,https://open.spotify.com/track/28Pq4gEOWpCj9jSNwZu95A,2026-06-08 12:57:50.405762,short_term,3:54
10,El Día Que Tú Te Marches,Estopa,Estopía,208,False,https://open.spotify.com/track/4foCz4G0YlfwumjM4GnMee,2026-06-08 12:57:50.405762,short_term,3:28
11,Mi Puta,Ele A El Dominio,Mi Puta,219,True,https://open.spotify.com/track/1quBqWgWgUOwWma3mMasgf,2026-06-08 12:57:50.405762,short_term,3:39
12,Cacho a Cacho,Estopa,Estopa,148,False,https://open.spotify.com/track/6VVBXRsXAuN5UvqKNw7j0l,2026-06-08 12:57:50.405762,short_term,2:28
